"baby baby";"Amy Grant";"U-Best Super Hits 40 DVD Collection Pack";3
" that's what love is for";"Amy Grant";"U-Best Super Hits 40 DVD Collection Pack";3
"breakin my heart (pretty brown eyes)";"lawrence wadell";"U-Best Super Hits 40 DVD Collection Pack";3
"I'm your baby tonight";"Whitney Housten";"U-Best Super Hits 40 DVD Collection Pack";3
"never gonna give you up";"rick astley";"U-Best Super Hits 40 DVD Collection Pack";3
"something to talk about";"bonnie raitt";"U-Best Super Hits 40 DVD Collection Pack";3
"lost in your eyes";"debbie gibson";"U-Best Super Hits 40 DVD Collection Pack";3
"romantic";"karyn white";"U-Best Super Hits 40 DVD Collection Pack";3
"have you seen her";"m.c. Hammer";"U-Best Super Hits 40 DVD Collection Pack";3
"masterpiece";"atlantic starr";"U-Best Super Hits 40 DVD Collection Pack";3
"do you really want me";"the human league";"U-Best Super Hits 40 DVD Collection Pack";3
"everybody plays the fool";"aaron neville";"U-Best Super Hits 40 DVD Collection Pack";3
"losing my religion";"r.e.m";"U-Best Super Hits 40 DVD Collection Pack";3
"I wonder why";"glen ballard";"U-Best Super Hits 40 DVD Collection Pack";3
"killing me softly with his song";"roberta flack";"U-Best Super Hits 40 DVD Collection Pack";4
"green green grass of home";"tom jones";"U-Best Super Hits 40 DVD Collection Pack";4
"casablanca";"max";"U-Best Super Hits 40 DVD Collection Pack";4
"edelweiss";"Unknown";"U-Best Super Hits 40 DVD Collection Pack";4
"how can I tell her(about you)";"kent lavole";"U-Best Super Hits 40 DVD Collection Pack";4
"release me";"phillips wilson";"U-Best Super Hits 40 DVD Collection Pack";4
"summer kisses winter tears";"Unknown";"U-Best Super Hits 40 DVD Collection Pack";4
"tennesse waltz";"pee wee king";"U-Best Super Hits 40 DVD Collection Pack";4
"rhythm of the rain";"gary lewis & playbo";"U-Best Super Hits 40 DVD Collection Pack";4
"five hundred miles";"paul peter & mary";"U-Best Super Hits 40 DVD Collection Pack";4
"crying in the chapel";"Elvis Presley";"U-Best Super Hits 40 DVD Collection Pack";4
"half breed";"cher";"U-Best Super Hits 40 DVD Collection Pack";4
"I can't stop loving you";"ray charles";"U-Best Super Hits 40 DVD Collection Pack";4
"a place in the sun";"stevie wonder";"U-Best Super Hits 40 DVD Collection Pack";4
"and I love you so";"Perry Como";"U-Best Super Hits 40 DVD Collection Pack";4
"too young";"nat king cole";"U-Best Super Hits 40 DVD Collection Pack";4
"before the next teardrop falls";"freddie fender";"U-Best Super Hits 40 DVD Collection Pack";4
"more than I can say";"leo sayer";"U-Best Super Hits 40 DVD Collection Pack";4
"bye bye love";"the everly brothers";"U-Best Super Hits 40 DVD Collection Pack";4
"try to remember";"The brothers four";"U-Best Super Hits 40 DVD Collection Pack";4
"que sera sera (whatever will be will be)";"doris day";"U-Best Super Hits 40 DVD Collection Pack";4
"changing partners";"irving berlin";"U-Best Super Hits 40 DVD Collection Pack";4
"more (theme from mondo cane)";"andy williams";"U-Best Super Hits 40 DVD Collection Pack";4
"summer wine";"frank sinatra";"U-Best Super Hits 40 DVD Collection Pack";4
"morning has broken";"cat stevens";"U-Best Super Hits 40 DVD Collection Pack";4
"moon river";"andy williams";"U-Best Super Hits 40 DVD Collection Pack";4
"the house of the rising sun";"the animals";"U-Best Super Hits 40 DVD Collection Pack";4
"the end of the world";"skeeter davis";"U-Best Super Hits 40 DVD Collection Pack";4
"dust in the wind";"kansas";"U-Best Super Hits 40 DVD Collection Pack";5
"love me tender";"Elvis Presley";"U-Best Super Hits 40 DVD Collection Pack";5
"take me home, country roads";"john denver";"U-Best Super Hits 40 DVD Collection Pack";5
"today";"randy sparks";"U-Best Super Hits 40 DVD Collection Pack";5
"if";"Bread";"U-Best Super Hits 40 DVD Collection Pack";5
"you needed me";"anne murray";"U-Best Super Hits 40 DVD Collection Pack";5
"the way we were";"barbra steisand";"U-Best Super Hits 40 DVD Collection Pack";5
"unchained melody";"the righteous brothers";"U-Best Super Hits 40 DVD Collection Pack";5
"stand by your man";"tammy wynette";"U-Best Super Hits 40 DVD Collection Pack";5
"greenfields";"The brothers four";"U-Best Super Hits 40 DVD Collection Pack";5
